Market_T,Success_Percentage
0.64,70.77311668175349
0.66,75.39602830823583
0.71,46.39387257984228
0.78,60.800337956735504
0.87,34.554708178423944
0.88,22.732060153883644
0.9,46.816551362093506
0.93,8.539158595228031
0.96,58.53129298819525
1.0,42.04923616708344
1.03,55.368990413152254
1.04,41.07869151855743
1.05,46.61387247689951
1.06,55.07341431309701
1.07,5.1157239472760505
1.08,65.45229310063144
1.12,41.77797706344863
1.13,38.39152671746874
1.14,35.04119834864762
1.18,44.91469690916686
1.2,57.49889525878134
1.24,42.79187225064909
1.27,46.50468285409279
1.29,28.008223520642733
1.31,43.97868158710753
1.4,34.040292313826626
1.41,49.66220484844998
1.46,88.2830225888058
1.49,31.74345298575075
1.52,31.28969752752589
1.53,29.14262454916519
1.55,66.52684108663708
1.56,47.09382299435684
1.57,48.47785974460136
1.58,52.87740583864693
1.63,88.59060180599997
1.66,73.69719233605655
1.69,32.29735430073018
1.72,43.2916433582124
1.76,38.75756813741358
1.77,33.3671080544972
1.78,69.3963747809923
1.79,25.11997901213704
1.81,64.5075502653686
1.9,37.666513933629744
1.92,59.39850990228246
1.93,65.24761804513207
1.94,42.71425749470459
1.97,52.08438138667382
2.0,20.348786799316912
2.01,41.31517451553
2.02,30.565723434011456
2.07,34.27496922922808
2.11,53.19866431178721
2.13,43.59150376658914
2.14,34.57630839702077
2.16,38.84372103505162
2.18,53.92657124944651
2.2,43.29541646368179
2.22,44.38883600583781
2.24,41.62605279153659
2.25,59.99404549238388
2.26,71.70248584435629
2.28,55.29025425547343
2.29,65.47202870837278
2.35,29.747250654117693
2.36,40.59431796749113
2.4,62.05353107666445
2.42,80.02657418556775
2.44,56.00241415678244
2.5,58.13333480981538
2.51,44.97999206423311
2.57,67.23038080054546
2.6,77.49794165304515
2.61,55.40222007654043
2.63,61.27714363856659
2.65,64.31173045789072
2.66,59.00408661297131
2.7,42.29884293869071
2.73,34.42517065145418
2.78,49.31938193775018
2.81,47.66844121952724
2.82,31.93950232716196
2.85,40.58229615843521
2.86,53.95426168568172
2.87,33.7906735056675
2.88,62.30235358792897
2.89,71.67331523128684
2.91,32.4285020015358
2.93,82.5098694090188
2.94,41.98882141158527
2.96,28.81577165171569
2.97,78.47728992514487
3.02,55.39640269456732
3.04,64.55588915562942
3.05,52.10751670924333
3.09,80.86029287956072
3.11,56.31775617138265
3.17,34.06906652420441
3.18,63.73505291070783
3.23,85.43522615575249
3.28,28.30775237325836
3.29,24.2050113821948
3.31,65.95279254514583
3.32,56.78258654104764
3.35,51.88634568745247
3.36,65.14985716593766
3.38,30.11634483825542
3.39,21.51156010355313
3.46,85.3487982916241
3.49,65.2557529223536
3.5,23.309388912088497
3.53,46.07672952214238
3.6,46.21810021671761
3.61,75.60323460525797
3.64,56.95507625181412
3.68,64.85679177188126
3.69,54.90321203403042
3.7,42.76542007128842
3.73,49.11583934232662
3.78,63.726051238186116
3.79,63.28355310724601
3.81,41.863388367481214
3.83,38.984210648108586
3.89,35.17083006147743
3.9,68.6024760221308
3.93,65.12173710958604
3.94,39.92358893831755
3.99,50.83341332820729
4.0,63.5409913489102
4.03,62.77385896359148
4.06,44.94530308837632
4.07,60.560604959792975
4.15,52.887016948324316
4.22,79.77746275740968
4.27,78.82818903250512
4.31,62.08710084012266
4.35,52.01970193617122
4.36,54.779400087350766
4.39,99.09717252405224
4.43,38.27952108195687
4.44,64.02217900200054
4.45,38.00113527313478
4.46,27.915449769369864
4.49,71.38418885126518
4.5,73.11496017694304
4.51,52.1362859121152
4.54,48.5114876564378
4.57,39.50405511516797
4.59,10.881550060976798
4.6,78.80286134282915
4.62,33.72077108334442
4.63,67.5486625785265
4.67,67.30944213358951
4.69,77.36794362608866
4.74,43.53737039742371
4.75,41.47343585457272
4.77,49.61995946462432
4.78,50.94712603366246
4.82,81.15641229861383
4.85,57.36362215702689
4.86,61.8525002233007
4.88,65.06814078914128
4.9,10.599429837377322
4.93,68.09281412497583
4.95,66.19504943222364
4.97,83.97481694624074
4.98,23.10696888067978
